rank,eigenvalue,filtered_eigenvalue,retained,method,window_end,n_assets,window_length,mp_lower_edge,mp_upper_edge,n_selected_factors,input_transform
1,6.1940683169987185,6.1940683169987185,True,raw_pca,2023-08-25,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
2,3.230761708902573,3.230761708902573,True,raw_pca,2023-08-25,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
3,2.63619077390571,2.63619077390571,True,raw_pca,2023-08-25,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
4,1.5204299616242842,1.5204299616242842,True,raw_pca,2023-08-25,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
5,1.4251988455308389,1.4251988455308389,True,raw_pca,2023-08-25,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
6,1.2653828536891536,1.2653828536891536,True,raw_pca,2023-08-25,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
7,1.0464779064426255,1.0464779064426255,True,raw_pca,2023-08-25,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
8,0.8614833877310409,0.8614833877310409,True,raw_pca,2023-08-25,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
9,0.768071268004872,0.768071268004872,True,raw_pca,2023-08-25,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
10,0.6733979195691596,0.6733979195691596,True,raw_pca,2023-08-25,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
11,0.632361762786019,0.632361762786019,True,raw_pca,2023-08-25,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
12,0.5991215225006151,0.5991215225006151,True,raw_pca,2023-08-25,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
13,0.4964901312936874,0.4964901312936874,True,raw_pca,2023-08-25,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
14,0.4405152000839992,0.4405152000839992,True,raw_pca,2023-08-25,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
15,0.3660644260397081,0.0,False,raw_pca,2023-08-25,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
16,0.34381596571679923,0.0,False,raw_pca,2023-08-25,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
17,0.2533696020657574,0.0,False,raw_pca,2023-08-25,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
18,0.23995941881147734,0.0,False,raw_pca,2023-08-25,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
19,0.22536577954530845,0.0,False,raw_pca,2023-08-25,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
20,0.21016014040512915,0.0,False,raw_pca,2023-08-25,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
21,0.18499963530646021,0.0,False,raw_pca,2023-08-25,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
22,0.15725540439129576,0.0,False,raw_pca,2023-08-25,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
23,0.13049063020186133,0.0,False,raw_pca,2023-08-25,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
24,0.09856743845290947,0.0,False,raw_pca,2023-08-25,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
1,6.1940683169987185,6.1940683169987185,True,rmt,2023-08-25,24,63,0.14652558125564566,2.6153791806491165,3,log1p_return_standardization
2,3.230761708902573,3.230761708902573,True,rmt,2023-08-25,24,63,0.14652558125564566,2.6153791806491165,3,log1p_return_standardization
3,2.63619077390571,2.63619077390571,True,rmt,2023-08-25,24,63,0.14652558125564566,2.6153791806491165,3,log1p_return_standardization
4,1.5204299616242842,0.0,False,rmt,2023-08-25,24,63,0.14652558125564566,2.6153791806491165,3,log1p_return_standardization
5,1.4251988455308389,0.0,False,rmt,2023-08-25,24,63,0.14652558125564566,2.6153791806491165,3,log1p_return_standardization
6,1.2653828536891536,0.0,False,rmt,2023-08-25,24,63,0.14652558125564566,2.6153791806491165,3,log1p_return_standardization
7,1.0464779064426255,0.0,False,rmt,2023-08-25,24,63,0.14652558125564566,2.6153791806491165,3,log1p_return_standardization
